command,amount used
check,110594
pic,54562
hint,18230
skip,5026
leaderboard,2189
info,634
userscore,620
race,595
streak,317
race start,267
race view,187
help,182
streak leaderboard,101
invite,79
stats,73
race stop,72
missed,61
score,60
list,58
groups,44
frequency,17
wiki,13
export,11
botinfo,10
session,7
session stop,3
ping,3
session start,2
ignore,2
send_as_bot,1
leave,1
