rocks,total missed,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28,2021-06-29,2021-06-30,2021-07-01,2021-07-02,2021-07-03,2021-07-04,2021-07-05,2021-07-06,2021-07-07,2021-07-08,2021-07-09,2021-07-10,2021-07-11,2021-07-12,2021-07-13,2021-07-14,2021-07-15,2021-07-16,2021-07-17,2021-07-18,2021-07-19,2021-07-20,2021-07-21,2021-07-22,2021-07-23,2021-07-24,2021-07-25,2021-07-26,2021-07-27,2021-07-28,2021-07-29,2021-07-30,2021-07-31,2021-08-01,2021-08-02,2021-08-03,2021-08-04,2021-08-05,2021-08-06,2021-08-07,2021-08-08,2021-08-09,2021-08-10,2021-08-11,2021-08-12,2021-08-13,2021-08-14,2021-08-15,2021-08-16,2021-08-17,2021-08-18,2021-08-19,2021-08-20,2021-08-21,2021-08-22,2021-08-23,2021-08-24,2021-08-25,2021-08-26,2021-08-27,2021-08-28,2021-08-29,2021-08-30,2021-08-31,2021-09-01,2021-09-02,2021-09-03,2021-09-04,2021-09-05,2021-09-06,2021-09-07,2021-09-08,2021-09-09,2021-09-10,2021-09-11,2021-09-12
Quartzite,629,57,40,2,16,11,3,15,13,3,12,3,4,10,15,5,2,0,4,0,2,5,8,7,0,2,0,3,0,1,1,0,2,0,0,0,0,3,1,1,1,2,1,0,0,0,1,4,0,3,1,1,0,0,0,1,1,0,4,0,2,1,1,6,0,2,0,0,0,1,2,2,0,2,2,5,1,2,4,1,3,0,0,2,0,0,0,2,1,29,15,21,0,1,0,1,5,4,10,0,7,4,0,0,2,1,0,0,1,2,1,0,0,1,2,2,1,0,0,6,1,5,1,1,0,0,4,1,0,0,1,0,0,1,1,2,0,2,0,3,3,2,11,2,3,1,0,1,4,14,3,4,25,8,6,3,0,8,0,17,11,10,10,6,0,5,5,15
Muscovite,626,26,36,32,33,11,1,1,16,0,6,4,1,6,16,7,0,0,1,1,2,9,6,0,0,2,0,1,5,6,7,0,1,1,0,0,0,7,5,4,5,2,6,1,3,0,1,0,0,5,0,0,0,1,0,0,0,1,0,6,0,3,2,1,0,3,0,0,0,2,1,1,1,8,9,6,0,3,0,0,11,4,0,0,0,0,0,2,2,38,14,15,4,0,1,0,1,6,2,2,8,2,1,0,4,0,1,0,1,0,1,1,0,1,0,2,0,0,0,3,1,0,3,0,0,0,0,2,0,7,0,1,4,2,1,5,0,0,0,1,3,2,16,5,4,0,1,0,6,5,1,11,14,5,0,6,1,2,1,17,10,7,4,7,7,2,4,6
Andesite,617,29,30,11,18,3,1,3,18,4,1,4,0,2,3,3,0,0,1,1,4,0,8,6,0,5,1,2,3,5,4,0,0,1,0,0,0,0,4,1,8,6,4,0,0,2,1,5,0,0,1,2,0,0,0,0,0,1,0,2,1,0,3,1,1,2,0,0,1,1,1,8,0,2,6,3,1,2,2,1,11,0,1,2,5,0,0,2,4,29,11,11,4,1,0,2,0,18,4,0,4,0,2,0,0,1,0,2,0,1,0,1,0,5,0,3,3,0,0,3,0,5,2,3,0,4,0,1,1,1,1,1,3,5,0,7,1,1,2,0,3,2,6,1,2,1,0,3,16,11,14,9,31,8,6,2,1,7,2,7,12,16,3,2,17,4,8,11
Sodalite,612,19,38,26,15,6,12,27,24,1,13,4,7,0,1,7,0,0,5,4,1,6,6,10,0,1,1,0,5,5,2,0,1,1,3,0,0,4,1,3,7,0,5,1,0,1,1,2,0,1,1,1,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,1,2,7,5,2,4,5,0,3,3,5,1,1,0,1,2,1,1,0,2,2,20,18,17,0,2,1,2,1,9,2,0,3,2,4,0,1,0,2,0,0,1,1,0,1,4,1,6,5,0,0,2,0,0,1,0,0,1,0,1,3,3,0,2,1,4,1,1,1,1,2,0,1,0,8,1,2,2,5,2,0,6,4,5,36,5,1,0,0,3,0,13,7,14,2,4,8,1,9,12
Microcline,607,50,64,12,6,9,6,9,20,1,13,4,1,7,5,3,0,0,0,1,3,3,1,4,0,2,2,3,4,2,8,3,4,1,0,0,0,2,0,3,7,1,4,0,2,0,1,3,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,3,0,0,1,2,2,1,0,5,4,8,1,2,6,0,3,2,2,0,0,0,0,2,3,49,19,12,0,2,0,1,0,10,1,3,6,2,2,0,0,0,0,2,0,0,1,1,0,1,2,5,4,0,0,3,0,2,2,0,0,0,0,1,1,0,0,0,0,3,0,3,0,0,2,0,3,1,1,1,0,1,4,2,7,8,1,7,31,0,3,1,4,2,4,11,12,11,3,6,5,1,3,9
Anthracite,605,19,10,11,10,11,0,5,13,0,5,9,1,3,6,5,0,0,0,0,4,1,0,1,0,1,0,1,6,13,2,2,1,0,0,0,0,1,3,4,2,5,1,3,1,1,0,0,3,0,0,0,0,0,0,2,0,4,0,4,2,0,0,0,0,5,0,0,1,3,6,4,1,5,9,5,6,5,3,5,8,3,4,1,1,0,0,1,3,26,15,26,0,0,1,1,0,14,3,1,2,3,1,0,0,0,0,0,2,0,1,1,1,8,0,1,5,0,0,8,0,1,3,0,0,2,0,4,1,0,0,0,2,4,0,2,0,0,0,0,2,0,20,5,1,6,4,1,8,7,3,27,9,4,5,1,1,5,3,27,6,11,9,16,10,3,7,10
Travertine,604,25,26,29,19,8,8,16,13,4,2,1,9,0,12,11,3,1,0,0,0,6,3,0,0,3,0,1,1,1,6,1,0,0,0,0,2,2,4,8,2,1,3,2,0,0,1,5,0,0,0,1,0,0,0,0,3,0,6,1,0,0,3,1,0,0,0,0,0,3,4,3,0,4,6,2,3,2,4,5,4,2,0,1,2,0,0,1,4,48,11,21,0,1,2,3,1,2,1,1,4,2,3,0,0,0,0,0,1,0,0,1,0,0,1,3,2,0,0,5,2,0,2,0,0,1,1,2,1,2,1,0,4,3,1,0,0,0,1,0,2,0,9,2,0,3,1,0,5,6,5,12,21,4,5,2,1,4,2,25,7,6,4,6,15,6,3,10
Marble,602,42,14,3,6,5,3,6,16,0,12,6,6,2,14,10,0,1,1,5,2,3,6,5,0,2,0,1,2,6,1,0,3,2,1,0,0,3,1,6,5,1,8,3,0,0,0,4,0,0,1,1,0,0,0,0,0,0,5,1,0,1,2,1,0,1,0,0,1,2,6,3,4,6,7,12,0,3,5,3,5,1,3,0,1,0,0,1,3,39,15,17,0,0,0,1,0,1,1,1,4,2,5,0,1,0,1,2,0,0,0,0,0,3,2,1,3,0,0,3,2,1,3,0,0,1,3,2,0,0,1,1,2,2,2,3,0,0,4,0,1,2,3,3,10,2,1,2,3,8,10,14,4,1,7,4,0,0,3,33,8,17,8,9,10,1,1,12
Alabaster,599,56,13,19,20,4,2,6,23,0,5,8,6,7,0,3,0,1,0,0,0,2,0,0,0,1,2,0,2,2,5,0,3,3,0,2,3,4,2,0,4,3,2,1,4,0,1,0,0,0,1,0,0,0,1,0,0,4,0,1,0,0,0,2,0,3,0,0,0,1,1,3,1,6,1,14,0,4,1,4,4,1,2,0,0,2,0,2,4,42,19,24,6,8,0,0,3,7,14,1,4,4,1,0,1,0,1,0,1,0,0,0,1,0,0,4,4,0,0,2,2,2,0,0,0,1,1,0,0,1,0,1,2,3,0,2,0,1,0,1,1,0,4,12,1,2,0,0,5,10,5,4,17,2,8,0,0,3,3,16,12,10,2,12,10,2,4,8
Pegmatite,592,23,30,14,20,1,7,7,28,0,11,7,0,3,13,5,2,0,1,1,2,5,0,1,0,2,1,0,5,8,6,0,4,0,0,0,0,7,0,0,0,4,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,3,4,3,1,0,0,0,0,0,0,0,4,0,4,4,2,6,1,2,1,4,1,4,8,8,4,1,1,1,0,0,0,27,11,1,0,4,1,0,0,6,1,1,6,4,0,0,0,0,0,0,1,0,0,2,1,3,1,3,3,0,0,3,2,4,2,0,0,1,1,1,0,0,0,0,4,5,2,4,0,0,4,0,6,2,11,2,3,1,2,0,1,9,3,3,17,12,2,9,3,3,5,14,8,21,7,5,28,5,1,10
Chalcedony,585,23,29,13,7,3,0,4,18,0,1,3,0,3,10,6,0,0,2,1,6,1,10,2,0,1,1,1,5,7,5,0,2,0,0,0,3,5,0,9,5,3,5,2,0,0,1,2,0,0,1,1,1,0,0,0,0,0,4,2,0,0,0,1,0,0,0,0,1,0,2,1,0,6,8,2,1,2,6,6,9,4,0,0,0,2,0,1,3,42,21,12,0,0,6,2,3,6,9,1,7,3,6,0,0,0,0,0,0,0,1,1,0,2,0,6,4,1,2,6,1,1,1,0,0,0,1,2,0,0,0,0,2,4,1,3,0,0,1,0,1,3,11,0,3,2,0,0,7,10,0,2,11,6,3,1,4,23,2,23,9,17,6,3,7,2,4,4
Chert,581,24,44,14,12,6,3,18,23,0,9,2,5,2,4,3,0,0,4,1,3,3,3,0,0,2,2,1,1,1,3,0,1,0,0,0,0,2,2,1,3,0,0,1,0,0,0,0,0,5,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,2,3,4,0,2,1,3,2,5,1,0,2,0,0,1,0,0,0,1,4,38,24,11,0,1,0,1,4,14,1,0,12,1,0,0,10,0,0,1,1,1,0,1,0,3,5,6,3,0,0,2,1,1,0,0,0,4,0,1,0,1,0,0,6,2,2,4,0,1,2,0,1,0,3,4,1,0,1,0,3,5,14,25,11,8,3,0,1,6,0,23,5,22,3,7,9,2,4,9
Kaolinite,567,27,16,5,9,9,0,10,10,8,4,0,0,4,3,10,0,0,7,2,0,9,2,5,0,2,0,0,0,9,0,0,3,0,1,0,0,2,0,12,1,1,3,0,2,0,0,2,0,7,0,1,0,0,0,0,2,0,12,5,0,1,0,3,0,4,0,0,1,0,2,4,0,2,1,2,0,2,2,1,7,10,3,1,0,2,0,0,3,28,10,7,0,5,1,0,1,9,4,1,6,1,1,0,0,0,1,2,0,1,2,1,0,5,2,1,3,0,0,3,1,4,1,0,0,0,3,0,1,2,1,0,3,3,0,0,0,0,1,2,1,6,12,4,0,1,0,4,6,14,15,4,19,11,16,6,3,3,1,6,10,16,1,5,14,4,3,9
